Data,Time,latitude,longitude,PM1,PM2.5,PM10,SO2,NO2,CO,O3,TEMP.,HUMI.
09-08-2021,19:37:44,25.258722,82.983085,4,4,4,0.002,0.015,0.62,0.057,22.1,62.5
09-08-2021,19:37:47,25.258722,82.983085,4,4,4,0.003,0.015,0.61,0.056,22.1,62.4
09-08-2021,19:37:49,25.258722,82.983085,13,15,15,0.014,0.017,0.66,0.056,22,62.4
09-08-2021,19:37:52,25.258722,82.983085,15,16,16,0.322,0.033,0.78,0.058,22.1,62.4
09-08-2021,19:37:56,25.258731,82.983072,22,23,23,0.677,0.064,0.81,0.062,22.1,62.4
09-08-2021,19:37:59,25.258731,82.983072,22,23,23,0.493,0.07,0.86,0.064,22.1,62.4
09-08-2021,19:38:02,25.258731,82.983072,21,22,22,0.073,0.056,0.86,0.065,22.2,62.8
09-08-2021,19:38:05,25.258795,82.982793,22,23,23,0.026,0.043,0.79,0.066,22.2,62.8
09-08-2021,19:38:08,25.258795,82.982793,11,12,12,0.003,0.031,0.68,0.064,22.2,63
09-08-2021,19:38:11,25.258795,82.982793,4,4,4,0.003,0.023,0.62,0.062,22.2,62.6
09-08-2021,19:38:13,25.258789,82.982805,4,4,4,0.003,0.021,0.6,0.059,22.2,62.4
09-08-2021,19:38:16,25.258789,82.982805,3,4,4,0.002,0.02,0.59,0.058,22.3,62.4
09-08-2021,19:38:19,25.258789,82.982805,6,7,7,0.003,0.02,0.62,0.058,22.3,62.4
09-08-2021,19:38:22,25.258789,82.982805,7,8,8,0.013,0.027,0.68,0.059,22.3,62.7
09-08-2021,19:38:25,25.258785,82.982805,10,11,11,0.035,0.04,0.69,0.06,22.4,62.8
09-08-2021,19:38:28,25.258785,82.982805,11,12,12,0.044,0.042,0.71,0.061,22.4,62.9
09-08-2021,19:38:31,25.258785,82.982805,12,13,13,0.027,0.037,0.7,0.061,22.3,63.4
09-08-2021,19:38:34,25.258731,82.982729,11,12,12,0.009,0.033,0.68,0.06,22.2,64.1
09-08-2021,19:38:37,25.258731,82.982729,9,10,10,0.002,0.025,0.62,0.06,22.4,65
09-08-2021,19:38:40,25.258731,82.982729,8,9,9,0.002,0.029,0.62,0.061,22.6,74.9
09-08-2021,19:38:43,25.258728,82.982653,7,9,9,0.003,0.057,0.6,0.07,23,84.7
09-08-2021,19:38:46,25.258728,82.982653,7,9,9,0.003,0.089,0.59,0.08,23,90.2
09-08-2021,19:38:49,25.258728,82.982653,11,13,13,0.014,0.127,0.64,0.094,23,87.8
09-08-2021,19:38:52,25.258728,82.982653,18,20,20,0.314,0.187,0.74,0.107,22.9,87
09-08-2021,19:38:55,25.25875,82.982615,18,20,20,0.609,0.21,0.74,0.113,22.9,81.6
09-08-2021,19:38:58,25.25875,82.982615,27,31,31,0.389,0.115,0.78,0.106,22.9,76.6
09-08-2021,19:39:01,25.25875,82.982615,26,29,29,0.272,0.039,0.85,0.09,22.9,72.2
09-08-2021,19:39:04,25.258738,82.982551,25,27,33,0.186,0.019,0.78,0.076,22.8,69.4
09-08-2021,19:39:07,25.258738,82.982551,20,24,24,0.02,0.009,0.68,0.061,22.8,67
09-08-2021,19:39:10,25.258738,82.982551,9,11,11,0.003,0.004,0.68,0.05,22.8,66.2
09-08-2021,19:39:14,25.258738,82.982551,9,11,11,0.003,0.004,0.68,0.047,22.8,65.6
09-08-2021,19:39:17,25.258731,82.9825,3,4,10,0.003,0.006,0.65,0.047,22.8,65
09-08-2021,19:39:20,25.258731,82.9825,4,5,5,0.003,0.006,0.62,0.049,22.8,65.1
09-08-2021,19:39:22,25.258731,82.9825,8,10,10,0.05,0.009,0.64,0.051,22.8,65.3
09-08-2021,19:39:26,25.258719,82.982538,8,10,10,0.05,0.021,0.7,0.054,22.6,65.9
09-08-2021,19:39:29,25.258719,82.982538,14,15,15,0.203,0.044,0.72,0.056,22.6,66.9
